date,user,v,a,tweet
11/5/2015 23:47,AlbshreN91,6.53,5.63,Thrilled to be able to feature a selection @MatejPovse's work on the refugee route through the Balkans in the mag! https://t.co/hiIVEQQ3PH
11/6/2015 0:50,IRCuk,3.78,5.18,As winter nears urgent humanitarian action by the EU is needed to prevent more deaths. IRC lays out recommendations: https://t.co/goBAkoS02r
11/6/2015 1:18,Business_UKnews,3.79,5.56,Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms #Business https://t.co/nJ6otnI250
11/6/2015 1:19,7starptc,3.79,5.56,RT Business_UKnews Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms #Business https://t.co/lKIBCYFsGI
11/6/2015 1:31,mauritaniafrica,5.28,4.76,"GlblCtzn: Child refugee crisis: as winter sets in, the situation in Europe is becoming critical—https://t.co/cdCBf… https://t.co/Wq0GuhfxTV"
11/6/2015 1:32,pov_team,5.04,4.67,"Child refugee crisis: as winter sets in, the situation in Europe becomes critical—https://t.co/fo1m29xTOM #branchout https://t.co/VBhL0UgY2b"
11/6/2015 1:34,mrcaseyljhs,5.2,6.42,"11/5 Reading Min: Despite dangers of the European winter refugees are still coming, and many will die https://t.co/7WmWYv3iuW via @Newsweek"
11/6/2015 1:53,EasternEuropein,4.11,5.34,Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms - International Business Times UK https://t.co/wGSINCiSUM
11/6/2015 1:58,saulocorona,3.25,6.26,What Winter Will Mean For The Refugee Crisis: https://t.co/zTfbVTywsf #Refugees #RefugeesWelcome #OpenEUborders https://t.co/wOHWfbKisz
11/6/2015 2:00,LudovicaIaccino,4.88,4.84,#Serbia: Thousands of #refugees wait to cross into #Croatia as winter looms https://t.co/wNxUzB3Kys Thank you @WorldVision for your work
11/6/2015 2:04,maamikron42,4.13,5.62,“@EasternEuropein: Serbia [#refugees #logisticscrisis ]: Thousands wait to cross into Croatia as winter looms - ... https://t.co/ArTiD6JqVs”
11/6/2015 2:12,_vasco732,4.78,5.16,RT @LudovicaIaccino: #Serbia: Thousands of #refugees wait to cross into #Croatia as winter looms https://t.co/wNxUzB3Kys Thank you @WorldVi…
11/6/2015 2:17,OthrFactsOfLife,4.16,5.45,#Refugee news - Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms https://t.co/qtldriWRVV
11/6/2015 2:31,vofnsomalia,4.49,5.35,"Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms: Every day, hundreds – if not thou... https://t.co/Xez4SEgNBK"
11/6/2015 3:09,winterolympic_a,4.11,5.34,Serbia refugee crisis photos: Thousands wait to cross into Croatia as winter looms - International Business Times UK https://t.co/h1sLSqmHUF
11/6/2015 3:16,balkanewsorg,3.79,5.56,Serbia refugee crisis photos: Thousands wait to cross into Croatia as winter looms https://t.co/RUUdxPhwV5
11/6/2015 3:47,AnimalRightsJen,4.24,5.97,#WomenRefugees #War Serbia refugee crisis photos: Thousands wait to cross into Croatia as... https://t.co/Rg9A7dD2M9 #UniteBlue #Women :(
11/6/2015 4:38,vofncroatia,3.79,5.56,Serbia refugee crisis photos: Thousands wait to cross into Croatia as winter looms: It's the beginning of Nove... https://t.co/4EpBavQaQV
11/6/2015 4:49,AJMacDonaldJr,5.72,5.42,"Refugee crisis: Greece struggles to cope with 5,000 people a day as winter arrives https://t.co/c5KiDuc5i1 via @YouTube"
11/6/2015 6:13,dlCroatia,3.79,5.56,Serbia refugee crisis photos: Thousands wait to cross into Croatia as winter looms: It's the beginning of Nove... https://t.co/0OoydNjNsk
11/6/2015 7:18,AMGiangiulio,3.78,5.18,RT @IRCuk: As winter nears urgent humanitarian action by the EU is needed to prevent more deaths. IRC lays out recommendations: https://t.c…
11/6/2015 7:21,MsSiobhann,5.49,5.9,"serious q: anyone else hear the #NPR reporter on EU refugee crisis pause and say, ""And Winter is Coming"" and it just seemed...not right #GoT"
11/6/2015 10:58,EmpathyNow,3.25,6.26,RT @saulocorona: What Winter Will Mean For The Refugee Crisis: https://t.co/zTfbVTywsf #Refugees #RefugeesWelcome #OpenEUborders https://t.…
11/6/2015 13:44,DanSovaLalor,4.76,7.25,Winter is Coming in Europe. Australia must do more to assist the refugee crisis https://t.co/Zs9NmJUA5u #auspol
11/6/2015 14:09,jondknight,3.79,5.56,Serbia refugee crisis photos: Thousands wait to cross into Croatia as winter looms https://t.co/W95MRggUuE
11/6/2015 14:13,SaleyhaAhsan,6.22,5.29,Retweeted Free Syria Media Hub (@Free_Media_Hub): Refugee crisis: Lesbos struggles to cope as winter arrives... https://t.co/WPHl98xFUE
11/6/2015 16:35,CaroSchirmer,4.01,3.61,"BBC Report, Video: Refugee crisis: Lesbos struggles to cope as winter arrives https://t.co/ntDyxGuIKE via @YouTube"
11/6/2015 16:47,nijenijeto,4.11,5.34,RT @EasternEuropein: Serbia refugee crisis: Thousands wait to cross into Croatia as winter looms - International Business Times UK https://…
11/6/2015 17:14,esthersuz,5.88,5.29,I liked a @YouTube video https://t.co/kveSDVXvNw Refugee crisis: Lesbos struggles to cope as winter arrives
11/6/2015 20:29,friboren,5.32,5.49,'Bad weather discount' to migrants willing to cross Mediterranean during winter https://t.co/Z38wt0PDYy EU says welcome - if you survive.
11/7/2015 1:24,EU4Sanctuary,3.55,6.22,#refugees – UNHCR seeks $96m to 'avert risk of humanitarian tragedy & loss of life during winter https://t.co/JukPE3woUY via @reliefweb
11/7/2015 2:04,InspireMediaCo,4.64,5.88,RT @astroehlein: EU refugee crisis in 2 photos on same day: Drowned baby in Lesbos; hate march in Prague https://t.co/hUD7TXPHUb https://t.…
11/7/2015 3:59,huettemann,4.74,5.55,"RT @NewsweekEurope: This week's cover story: How refugees risk death, traveling through the European winter https://t.co/MMfTtFT288 https:/…"
11/7/2015 4:41,peterhenry9,5.28,4.76,"RT @GlblCtzn: Child refugee crisis: as winter sets in, the situation in Europe is becoming critical—https://t.co/cdCBfp9IJ2 https://t.co/Ke…"
11/7/2015 6:29,MoulidHujale,5.08,5.13,"RT @CH_EERDept: As winter hits the refugee crisis, energy provision will become a key concern, #MovingEnergy @guardianeco : https://t.co/4y…"
11/7/2015 10:07,JosephGuay1,5.51,5.41,RT @JFCrisp: It can only get worse... Excellent Guardian feature on Europe's refugee emergency and the arrival of winter: https://t.co/oL74…
11/7/2015 11:06,CSPANnow,5.14,6.56,1-2016 Presidential Campaign | 2-Book Discussion on [Winter is Coming] | 3-Refugee Crisis in Europe https://t.co/zMJYbFEXbm
11/7/2015 11:11,DamienSharkov,4.74,5.55,"This week's cover story: How refugees risk death, traveling through the European winter https://t.co/JXu6fZ3qke https://t.co/3GUeJ9Mk4H"
11/7/2015 13:03,N_HurstWhite,5.66,5.08,#Malala gave up her winter break from school to witness the Syrian refugee crisis. [image credit: UNHCR's Fb page] https://t.co/pNwYynPGjB
11/7/2015 14:15,CityDXBGuide,5.12,5.11,"Refugee crisis: The rush to beat winter: With figures released this week showing that some 758,400 asylum seek... https://t.co/etxkWBfoMX"
11/7/2015 14:15,Executive_Tower,5.12,5.11,"Refugee crisis: The rush to beat winter: With figures released this week showing that some 758,400 asylum seek... https://t.co/yKaWb1hlT4"
11/7/2015 19:57,DamienSharkov,4.99,5,This week's cover story: Refugees are risking death traveling through the European winter https://t.co/rWP2lzuSGR https://t.co/p575C2mF17
11/8/2015 1:00,Newsweek,4.83,5.51,Come hell or high water: Refugees risk death traveling through a harrowing European winter https://t.co/hYDS21fg3q https://t.co/KmH2h1zWiQ
11/8/2015 1:03,sheilaweeks,4.67,5.1,Winter comes to the European Refugee Crisis as Funds Run Low https://t.co/hFwn9izLrb
11/8/2015 1:03,rumorabout,4.72,5.14,Winter comes to the European Refugee Crisis as Funds Run Low: The refugee and migration crisis in Europe faces a… https://t.co/VnWwFAyqn5
11/8/2015 1:06,WorldNews_24h,4.83,5.51,Come hell or high water: Refugees risk death traveling through a harrowing European winter https://t.co/iOePYRaqMu …
11/8/2015 1:06,jessicahannan81,5.64,3.93,The #European #refugeecrisis needs more items for winter to help expected 5K/day arrivals. https://t.co/WMCx5AxgGO But what else is needed?
11/8/2015 2:15,Newsweek,4.83,6.66,"Despite the dangers of the European winter, refugees are still coming, and many will die https://t.co/hYDS21fg3q https://t.co/qHqvBC3y0K"
11/8/2015 2:25,WorldNews_24h,4.83,6.66,"Despite the dangers of the European winter, refugees are still coming, and many will die https://t.co/iOePYRaqMu https://t.co/dXNEwzUdgG …"
11/8/2015 2:27,ballaballaco,4.76,5.12,Winter comes to the European Refugee Crisis as Funds Run Low - I4U News https://t.co/Vm2UgoYubA https://t.co/3Le2If1VKk
11/8/2015 2:56,anotao_news,3.78,5.26,Refugee crisis: The rush to beat winter https://t.co/2MXNna3D0C
11/8/2015 2:56,Kievjoy,3.79,6.22,RT @2111015: #Refugees Risk Death Traveling Through a Harrowing #Europe|an Winter https://t.co/xX8bIy95Ub #Iraq #Iran #Syria https://t.co/D…
11/8/2015 3:15,amiablecynic,3.55,6.22,RT @EU4Sanctuary: #refugees – UNHCR seeks $96m to 'avert risk of humanitarian tragedy & loss of life during winter https://t.co/JukPE3woUY …
11/8/2015 3:50,i4unews,4.08,5.26,Winter to Escalate European Refugee Crisis as Funds Run Low https://t.co/hPstA2Uxjx
11/8/2015 4:43,GIZMODO_CZ,4.08,5.26,Winter to Escalate European Refugee Crisis as Funds Run Low
11/8/2015 5:58,AnimalRightsJen,4.4,5.83,#WomenRefugees #War Winter to Escalate European Refugee Crisis as Funds Run Low: As winte... https://t.co/VmdU0em9nG #UniteBlue #Women :(
11/8/2015 5:58,WomenWorldNews1,3.67,5.96,#WomenRefugees #War Winter to Escalate European Refugee Crisis as Funds Run Low: As winte... https://t.co/vQh7ob8Cej #Refugees #HumanRigh
11/8/2015 9:19,violagienger,6.22,7.41,"RT @GeorgetownFlow: @violagienger Winter Is Coming for Syria's Refugees, and the EU Isn't Ready https://t.co/k2yObfWXXR https://t.co/GnxCQs…"
11/8/2015 9:38,___psi,4.83,5.51,RT @Newsweek: Come hell or high water: Refugees risk death traveling through a harrowing European winter https://t.co/hYDS21fg3q https://t.…
11/8/2015 11:04,winterolympic_a,4.36,5.23,Winter to Escalate European Refugee Crisis as Funds Run Low - I4U News #refugee https://t.co/7qoS2yc2lZ
11/8/2015 11:23,yukaritakasugi,4.83,6.66,"RT @Newsweek: Despite the dangers of the European winter, refugees are still coming, and many will die https://t.co/hYDS21fg3q https://t.co…"
11/8/2015 11:51,PoliticallyLib,4.79,5.17,RT @gulf_news: Refugee crisis: The rush to beat winter - in pictures https://t.co/Wm4UeJWmdB https://t.co/SZMobsgIB5
11/8/2015 12:13,thaibox27,4.99,5,RT @NewsweekEurope: This week's cover story: Refugees are risking death traveling through the European winter https://t.co/kiTDLoXZOl https…
